country,R,G,B
AR,0.112702675,0.32395196,0.0
BO,0.97,0.021348838,0.58399963
BR,0.70162135,0.97,0.40315497
CA,0.6998492,0.8359764,0.44364846
CL,0.9299177,0.049372204,0.50330615
CO,0.0314791,0.12999047,0.97
CR,0.1325108,0.37784916,0.112698555
CU,0.97,0.0,0.5212414
DO,0.94667196,0.021722436,0.6686162
EC,0.9384773,0.09383395,0.5882233
ES,0.62573344,0.8918147,0.45068413
FR,0.71708566,0.9440714,0.44808027
GB,0.6535769,0.97,0.45776516
GQ,0.089924425,0.13970202,0.97
GT,0.07183729,0.19602235,0.92562723
HN,0.0,0.1603038,0.8881772
MX,0.2787916,0.5473188,0.5922512
NI,0.07508773,0.28623316,0.063757494
PA,0.905551,0.119239666,0.6777309
PE,0.8550343,0.059837125,0.537801
PR,0.34535813,0.6368786,0.5192002
PY,0.043769754,0.22277254,0.85253906
SV,0.91103196,0.1985392,0.6253704
US,0.55154014,0.8305166,0.4582854
UY,0.090322495,0.35833526,0.045249227
VE,0.85651076,0.03174193,0.6353387
