country,R,G,B
AR,0.05,0.38016084,0.37703297
BO,0.85815454,0.14242436,0.72502255
BR,0.87102526,0.95,0.3509846
CA,0.6978473,0.27421263,0.95
CL,0.95,0.5439592,0.60900784
CO,0.18511315,0.6213372,0.70357835
CR,0.12737659,0.13715467,0.14918736
CU,0.8904822,0.3287045,0.4099774
DO,0.8087453,0.56771076,0.82947433
EC,0.56550527,0.05,0.6679082
ES,0.6428392,0.3464283,0.08189302
FR,0.87094486,0.6707551,0.23472594
GB,0.5185291,0.95,0.27571946
GQ,0.44586283,0.33036968,0.8685667
GT,0.23012322,0.105399385,0.5969386
HN,0.38474074,0.42252094,0.37975922
MX,0.2022917,0.91428334,0.4143652
NI,0.05,0.53280854,0.15817109
PA,0.49547362,0.8929059,0.60039914
PE,0.6306294,0.50167,0.53929174
PR,0.16146284,0.8175393,0.1345568
PY,0.416159,0.05,0.23379703
SV,0.7718774,0.05,0.38036436
US,0.4674724,0.7849921,0.05
UY,0.23142377,0.42740107,0.05
VE,0.56877166,0.70060664,0.8893484
