country,R,G,B
ALL,0.898816,0.79811937,0.0
AR,0.9980071,1.0,0.057137065
BO,0.20378214,0.5927556,0.91361
BR,0.0,0.33631572,0.78273296
CA,0.20202574,0.38080806,0.83344877
CL,0.7643218,0.6544172,0.1102343
CO,0.97358817,0.58801264,0.048218127
CR,0.56659853,0.0,0.3868757
CU,0.18029076,0.266871,0.95770466
DO,0.6482282,0.17228565,0.48526964
EC,0.8482971,0.21084791,0.3026203
ES,0.82847685,0.9301816,0.102987796
FR,0.020383084,0.381456,0.9686874
GB,0.013403387,0.57267153,0.8676498
GT,0.43412685,0.032793246,0.5379511
HN,0.07321383,0.101868525,0.8434905
MX,1.0,0.8055931,0.12095442
NI,0.2244443,0.17756838,0.68868345
PA,0.5518088,0.30049837,0.39964125
PE,0.6774735,0.35175008,0.2553234
PR,0.23077796,0.41912436,1.0
PY,0.7765414,0.4055877,0.41211373
SV,0.4220282,0.27050108,0.61016685
US,0.9784734,0.55399144,0.224958
UY,0.8091927,0.63121223,0.2914197
VE,0.8533744,0.34904388,0.14471401
