country,R,G,B
ALL,0.33066055,1.0,0.5950706
AR,0.43157217,0.91002095,0.6558663
BO,0.16587809,0.14189975,0.6666862
BR,0.53939366,0.08366041,0.91564035
CA,0.27218354,0.1321868,0.9605654
CL,0.40225053,0.81419694,0.42097846
CO,0.20223285,0.87434584,0.22910388
CR,1.0,0.49873212,0.5724499
CU,0.04090096,0.02097396,0.69509757
DO,0.88508487,0.52524364,0.30681476
EC,0.64388025,0.6591011,0.29567212
ES,0.18006997,0.93905365,0.5219966
FR,0.1493639,0.0,0.97311074
GB,0.40913036,0.003456736,1.0
GT,0.8967388,0.37523544,0.49861315
HN,0.3945089,0.05743361,0.63295686
MX,0.34742182,0.98682183,0.3161075
NI,0.6786797,0.23003836,0.7945595
PA,0.8529991,0.5941472,0.5790903
PE,0.66419655,0.7007552,0.0
PR,0.0,0.101646334,0.88573337
PY,0.91654533,0.67920375,0.22003084
SV,0.70850253,0.35768163,0.687772
US,0.5999625,0.87508196,0.09167653
UY,0.7374659,0.8086336,0.3308473
VE,0.3840082,0.76840246,0.091192804
